# ----------------------------------------
# All Web Site Data
# Microplants Age Survey Report
# 20180620-20190623
# ----------------------------------------

Date,Hour,Minute,Event Action,Event Label,Total Events
20180701,11,12,Answer: Skip,SessionID: E59abaacd0012bdfef6ee16bb2d9b7a4e41fafd348ec136e77cd03f8957c2bd5,1
20180701,11,16,Answer: 18+,SessionID: 059b1db1978f090ba7f5b258c07316b8d8b4994fd53e9c2cf61b2815a8629fdd,1
20180701,12,05,Answer: Skip,SessionID: 0961aaef241c779975dcbc425ff3739ce1958824391c201092570e8ab4d4d227,1
20180701,12,09,Answer: 11-17,SessionID: A9ec75580e491ee45e2a1894eb429da8e4cbb2b8362eb08ca890c3fb7fd17276,1
20180701,12,15,Answer: 18+,SessionID: 43b9e9db73ce32e6c1ce366227ee5bd8beed11885eeca9e1f122724fd1639971,1
20180701,12,19,Answer: 18+,SessionID: 02c44d7b08d0ea2e13925dc67a1dea01e22d00e685fe9843333afe4f77c992a9,1
20180701,12,24,Answer: Skip,SessionID: 18cec54082860074fc25d7852ceaf58e9c84642041c7eb509061aacf45ea6225,1
20180701,12,52,Answer: 11-17,SessionID: D23650a135acc6add0d0037a294a4d5d1f80b10e2d57794c501ea6c29f202a00,1
20180701,12,55,Answer: Skip,SessionID: 8d4a60bf3d13497f21dab61e06d4cea6848f57d4baa07f377495b95276c521fb,1
20180701,13,00,Answer: Skip,SessionID: 8d4a60bf3d13497f21dab61e06d4cea6848f57d4baa07f377495b95276c521fb,1
20180701,13,26,Answer: 18+,SessionID: D5dd6528f75fc6ab342b8937246c8351a693ed33ec65463f407626de4b54aad6,1
20180701,13,34,Answer: 10 and Under,SessionID: D5dd6528f75fc6ab342b8937246c8351a693ed33ec65463f407626de4b54aad6,1
20180701,13,49,Answer: 10 and Under,SessionID: B2102b392f0b1595d8980fc64080dbff4d0a9b13ff8f00b962eaeef3c14ac63f,1
20180701,13,59,Answer: 11-17,SessionID: 42d7fccd0967e370df4862a21589d360237d45376c42171027f7870f4fe68d0f,1
20180701,14,10,Answer: 11-17,SessionID: 3757befc4171677530c7f7bcb0b5070112e9ac215a27a15ac0d44c8e13aefb8c,1
20180701,14,21,Answer: 18+,SessionID: 3757befc4171677530c7f7bcb0b5070112e9ac215a27a15ac0d44c8e13aefb8c,1
20180702,10,23,Answer: 10 and Under,SessionID: 3757befc4171677530c7f7bcb0b5070112e9ac215a27a15ac0d44c8e13aefb8c,1
